Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Pretty Little Liars Spinoff Earns Pilot Order,9/25/2017,FALSE,12:58 PM,,,Variety
The Clifford the Big Red Dog Movie Has a Director,9/25/2017,FALSE,12:57 PM,,,Hollywood Reporter
Unbreakable Vets Join M. Night Shyamalan’s Glass,9/21/2017,FALSE,2:01 PM,,,Hollywood Reporter
Tom Hanks to Star in A Man Called Ove Remake,9/21/2017,FALSE,10:26 AM,,,Variety
BoJack Horseman Renewed for Season 5,9/21/2017,FALSE,10:05 AM,,,Variety
Equalizer 2 Moves Up to August 2018,9/21/2017,FALSE,7:23 AM,,,deadline
Escape Plan 3 Adds Max Zhang,9/21/2017,FALSE,4:45 AM,,,Variety
Sean Penn to Star in Hulu Series The First,9/20/2017,FALSE,12:34 PM,,,Variety
"Linda Hamilton to Reunite with Arnold Schwarzenegger, James Cameron for New Terminator",9/20/2017,FALSE,5:09 AM,,,Hollywood Reporter
Taika Waititi in Talks to Direct Live-Action Akira,9/20/2017,FALSE,5:08 AM,,,deadline
The Croods Is Getting a Sequel,9/19/2017,FALSE,2:02 PM,,,Variety
HBO Wants Another Season of The Deuce,9/19/2017,FALSE,2:01 PM,,,Variety
Matt Damon to Play a Real-Life Charlatan,9/19/2017,FALSE,9:51 AM,,,Variety
Judi Dench in Talks for Artemis Fowl,9/18/2017,FALSE,2:55 PM,,,Variety
Harry Dean Stanton: 1926-2017,9/15/2017,FALSE,4:56 PM,,,New York Times
Jamie Lee Curtis Returning for New Halloween,9/15/2017,FALSE,1:11 PM,,,Hollywood Reporter
Claire Foy Is The Girl in the Spider’s Web,9/15/2017,FALSE,11:38 AM,,,Variety
John Wick: Chapter Three Scheduled for May 2019,9/14/2017,FALSE,3:39 PM,,,Hollywood Reporter
Comedy Central Renews The Daily Show Through 2022,9/14/2017,FALSE,10:50 AM,,,Variety
Jim Carrey Is Kidding with Showtime,9/14/2017,FALSE,10:49 AM,,,Variety
J.J. Abrams to Write and Direct Star Wars: Episode IX,9/12/2017,FALSE,7:32 AM,,,StarWars.com
Patty Jenkins Confirmed for Wonder Woman Sequel,9/11/2017,FALSE,6:23 PM,,,New York Times
Daniel Dae Kim in Talks for Hellboy,9/11/2017,FALSE,6:22 PM,,,Variety
47 Meters Down Is Getting a Sequel,9/8/2017,FALSE,10:30 AM,,,Hollywood Reporter
Drew Goddard to Write and Direct X-Force,9/7/2017,FALSE,2:06 PM,,,deadline
The It Sequel Has a Screenwriter,9/7/2017,FALSE,10:35 AM,,,Variety
"Gavin O’Connor to Write, Direct Suicide Squad Sequel",9/7/2017,FALSE,3:50 AM,,,Variety
Veep to End After Season 7,9/7/2017,FALSE,3:49 AM,,,Variety
It Director Eyes Dracula Prequel,9/6/2017,FALSE,3:45 AM,,,Variety
Colin Trevorrow Exits Star Wars: Episode IX,9/5/2017,FALSE,5:17 PM,,,Variety
True Detective Season 3 Confirmed at HBO,9/1/2017,FALSE,4:02 AM,,,Variety
Spider-Man: Homecoming Writers Return for Sequel,8/30/2017,FALSE,12:52 PM,,,Hollywood Reporter
Blade Runner 2049 Running Time Revealed,8/30/2017,FALSE,12:52 PM,,,Variety
Keanu Reeves and Winona Ryder Reunite for Destination Wedding,8/30/2017,FALSE,12:51 PM,,,Hollywood Reporter
Ben Affleck Could Lead Red Platoon,8/30/2017,FALSE,3:40 AM,,,The Tracking Board
Top Gun 2 Reportedly Getting a Script Rewrite,8/29/2017,FALSE,5:48 PM,,,ScreenRant
Justice League Dark Is Getting a Gerard Johnstone Script Polish,8/29/2017,FALSE,5:47 PM,,,Variety
Robin Hood Bumped to September 2018,8/29/2017,FALSE,2:15 PM,,,Hollywood Reporter
Terry O’Quinn Joins Castle Rock,8/29/2017,FALSE,11:50 AM,,,deadline
Ed Skrein Exits Hellboy,8/28/2017,FALSE,1:00 PM,,,Hollywood Reporter
Jay Thomas: 1948-2017,8/24/2017,FALSE,1:06 PM,,,Variety
James Gunn Is Developing a New Starsky and Hutch TV Series,8/24/2017,FALSE,1:04 PM,,,Variety
HBO Renews Room 104 for Season 2,8/24/2017,FALSE,10:44 AM,,,Variety
Kingsman: The Golden Circle to Screen in 270-Degree ScreenX Format,8/24/2017,FALSE,7:42 AM,,,deadline
Transparent Renewed for Season 5,8/24/2017,FALSE,7:41 AM,,,Variety
Margot Robbie and Jared Leto Set to Return for Joker/Harley Quinn Movie,8/24/2017,FALSE,3:41 AM,,,Hollywood Reporter
Will Ferrell Is The 100 Year-Old Man,8/23/2017,FALSE,5:47 PM,,,Variety
The Hate U Give Adds Issa Rae,8/23/2017,FALSE,5:46 PM,,,Variety
Todd Phillips in Talks for Joker Origin Movie,8/22/2017,FALSE,4:18 PM,,,Variety
Michael K. Williams Exits Han Solo Movie,8/22/2017,FALSE,11:41 AM,,,deadline
Jerry Lewis: 1926-2017,8/20/2017,FALSE,11:00 AM,,,Variety
Kevin Hart and Tiffany Haddish Are Going to Night School,8/17/2017,FALSE,4:47 PM,,,Hollywood Reporter
Lucasfilm Developing Obi-Wan Kenobi Star Wars Spinoff,8/17/2017,FALSE,1:01 PM,,,Hollywood Reporter
ABC Orders Pilot for Jetsons Live-Action Series,8/17/2017,FALSE,1:00 PM,,,Variety
Alan Arkin Joins Dumbo,8/17/2017,FALSE,10:58 AM,,,Variety
Daniel Craig Confirms Return for Bond 25,8/16/2017,FALSE,4:39 AM,,,Hollywood Reporter
Tom Holland Goes Beneath a Scarlet Sky,8/16/2017,FALSE,4:38 AM,,,deadline
Hellboy Adds Sasha Lane,8/16/2017,FALSE,4:37 AM,,,Variety
Jack Black and Cate Blanchett Have Eli Roth’s House with a Clock in Its Walls,8/16/2017,FALSE,4:37 AM,,,Hollywood Reporter
Fox Is Remaking License to Drive,8/15/2017,FALSE,12:07 PM,,,Hollywood Reporter
Captain Marvel Has a New Screenwriter,8/15/2017,FALSE,10:28 AM,,,Hollywood Reporter
Daniel Craig Insists He’s Made ‘No Decision’ Regarding Bond 25,8/15/2017,FALSE,10:28 AM,,,ScreenRant
"Louis C.K. to Debut Surprise Feature I Love You, Daddy at TIFF",8/15/2017,FALSE,10:26 AM,,,Vanity Fair
Netflix Producing Ali Wong-Randall Park Romantic Comedy,8/15/2017,FALSE,10:25 AM,,,deadline
GLOW Renewed for Season 2,8/10/2017,FALSE,5:22 PM,,,Hollywood Reporter
Seth Meyers Bringing The Munsters Back for NBC,8/10/2017,FALSE,2:03 PM,,,Variety
"Arnold Schwarzenegger Promises Sequels to Twins, Conan, Terminator",8/10/2017,FALSE,9:41 AM,,,The Playlist
Riz Ahmed in Talks for Venom,8/10/2017,FALSE,4:12 AM,,,Variety
Kurt Sutter Joins Chaos Walking,8/9/2017,FALSE,3:55 PM,,,deadline
Netflix Adds Coen Brothers Western Anthology Series The Ballad of Buster Scruggs,8/9/2017,FALSE,11:29 AM,,,indieWIRE
"Disney, ESPN Streaming Services Set to Launch",8/8/2017,FALSE,4:53 PM,,,Variety
Chris Pratt’s Cowboy Ninja Viking Scheduled for Summer 2019,8/8/2017,FALSE,11:28 AM,,,Hollywood Reporter
HBO Renews Insecure and Ballers,8/8/2017,FALSE,11:27 AM,,,Variety
Fox Wants More King of the Hill,8/8/2017,FALSE,11:26 AM,,,Variety
The Twin Peaks Revival Appears Unlikely to Continue,8/8/2017,FALSE,10:19 AM,,,ScreenCrush
David Letterman to Host Netflix Interview Series,8/8/2017,FALSE,10:18 AM,,,Variety
Karate Kid Sequel Series Cobra Kai in the Works,8/4/2017,FALSE,7:01 AM,,,TV Line
NBC Wants Even More Will & Grace,8/3/2017,FALSE,1:29 PM,,,Variety
Sylvester Stallone Joins This Is Us,8/3/2017,FALSE,11:39 AM,,,Variety
The Dark Tower TV Series Has a Showrunner,8/3/2017,FALSE,8:30 AM,,,Hollywood Reporter
Pacific Rim: Uprising Gets Bumped,8/3/2017,FALSE,7:10 AM,,,Variety
Chiwetel Ejiofor in Talks for The Lion King,8/3/2017,FALSE,7:09 AM,,,Hollywood Reporter
